slug,name,city,searchUrl
chubby-fish-restaurant-restaurant,Chubby Fish,Charleston,https://www.tripadvisor.es/Search?q=Chubby%20Fish%20Charleston
chubby-fish-restaurant,Chubby Fish,Charleston,https://www.tripadvisor.es/Search?q=Chubby%20Fish%20Charleston
civil-works,Civil Works,Toronto,https://www.tripadvisor.es/Search?q=Civil%20Works%20Toronto
clemente-bar,Clemente Bar,New York,https://www.tripadvisor.es/Search?q=Clemente%20Bar%20New%20York
cmyk,CMYK,Changsha,https://www.tripadvisor.es/Search?q=CMYK%20Changsha
cmyk-bar,CMYK,Changsha,https://www.tripadvisor.es/Search?q=CMYK%20Changsha
coa-bar,Coa,Hong Kong,https://www.tripadvisor.es/Search?q=Coa%20Hong%20Kong
coa,Coa,Hong Kong,https://www.tripadvisor.es/Search?q=Coa%20Hong%20Kong
cochinchina,CoChinChina,Buenos Aires,https://www.tripadvisor.es/Search?q=CoChinChina%20Buenos%20Aires
connaught-bar,Connaught Bar,London,https://www.tripadvisor.es/Search?q=Connaught%20Bar%20London
corima-restaurant,Corima,New York,https://www.tripadvisor.es/Search?q=Corima%20New%20York
cosmo-pony,Cosmo Pony,Jakarta,https://www.tripadvisor.es/Search?q=Cosmo%20Pony%20Jakarta
cosmo-pony-bar,Cosmo Pony,Jakarta,https://www.tripadvisor.es/Search?q=Cosmo%20Pony%20Jakarta
crizia-restaurant,Crizia,Buenos Aires,https://www.tripadvisor.es/Search?q=Crizia%20Buenos%20Aires
crony-restaurant,Crony,Tokyo,https://www.tripadvisor.es/Search?q=Crony%20Tokyo
crony-restaurant-restaurant,Crony,Tokyo,https://www.tripadvisor.es/Search?q=Crony%20Tokyo
daisy-margarita-bar,Daisy Margarita Bar,Los Angeles,https://www.tripadvisor.es/Search?q=Daisy%20Margarita%20Bar%20Los%20Angeles
dakar-nola-restaurant-restaurant,Dakar NOLA,New Orleans,https://www.tripadvisor.es/Search?q=Dakar%20NOLA%20New%20Orleans
dakar-nola-restaurant,Dakar NOLA,New Orleans,https://www.tripadvisor.es/Search?q=Dakar%20NOLA%20New%20Orleans
danico,Danico,Paris,https://www.tripadvisor.es/Search?q=Danico%20Paris
demo-magnolia-restaurant,Demo Magnolia,Santiago,https://www.tripadvisor.es/Search?q=Demo%20Magnolia%20Santiago
diaca-restaurant,Diacá,Guatemala City,https://www.tripadvisor.es/Search?q=Diac%C3%A1%20Guatemala%20City
dianes-place-restaurant,Diane's Place,Minneapolis,https://www.tripadvisor.es/Search?q=Diane's%20Place%20Minneapolis
diverxo-restaurant,Diverxo,Madrid,https://www.tripadvisor.es/Search?q=Diverxo%20Madrid
don-restaurant,Don Julio,Buenos Aires,https://www.tripadvisor.es/Search?q=Don%20Julio%20Buenos%20Aires
double-chicken-please,Double Chicken Please,New York,https://www.tripadvisor.es/Search?q=Double%20Chicken%20Please%20New%20York
drink-kong,Drink Kong,Rome,https://www.tripadvisor.es/Search?q=Drink%20Kong%20Rome
dry-wave-cocktail-studio-bar,Dry Wave Cocktail Studio,Bangkok,https://www.tripadvisor.es/Search?q=Dry%20Wave%20Cocktail%20Studio%20Bangkok
dry-wave-cocktail-studio,Dry Wave Cocktail Studio,Bangkok,https://www.tripadvisor.es/Search?q=Dry%20Wave%20Cocktail%20Studio%20Bangkok
eatanic-garden-restaurant,Eatanic Garden,Seoul,https://www.tripadvisor.es/Search?q=Eatanic%20Garden%20Seoul
eatanic-garden-restaurant-restaurant,Eatanic Garden,Seoul,https://www.tripadvisor.es/Search?q=Eatanic%20Garden%20Seoul
edulis-restaurant,Edulis,Toronto,https://www.tripadvisor.es/Search?q=Edulis%20Toronto
eight-restaurant,Eight,Calgary,https://www.tripadvisor.es/Search?q=Eight%20Calgary
el-gallo-altanero,El Gallo Altanero,Guadalajara,https://www.tripadvisor.es/Search?q=El%20Gallo%20Altanero%20Guadalajara
el-mercado-restaurant,El Mercado,Buenos Aires,https://www.tripadvisor.es/Search?q=El%20Mercado%20Buenos%20Aires
