Distribuidor;Nombre Referencia;Precio con IVA;Productor o Bodega;Ciudad;Región;País;Tipo de Vermut;Descripción;Notas de Cata;Foto Botella;Enlace Web Oficial
Bodeboca;Vermouth del Professore Rosso;40,67 €;;;;España;Vermut Rojo;"""The Professor"" es el sobrenombre con el que siempre será conocido Jerry Thomas, el barman que se considera pionero y personaje célebre en la mixología de Estados Unidos. El Vermouth del Professore Rosso lleva su nombre como un homenaje. Para su elaboración se seleccionan los mejores vinos blancos y tintos nacionales y de producción propia. Inspirado en el icónico bartender Jerry Thomas, Vermouth Del Professore nace de una colaboración entre todos los fundadores de la prestigiosa coctelería de Roma, The Jerry Thomas Project.";Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2020-05/bot-vermouth-del-professore-rosso.jpg;https://www.bodeboca.com/vino/vermouth-professore-rosso#block-productratings
Decántalo;Vermut, o vermouth, una oda al hedonismo.;13,10 €;;;;España;Vermut;Sin descripción;No disponibles;https://www.decantalo.com/es/img/prestashop-17-logo-1577703831.jpg;https://www.decantalo.com/es/es/vino/vermut/?SubmitCurrency=1&id_currency=1
Bodeboca;Astobiza Vermouth Extra;20.25 €;;;;"Astobiza Vermouth Extra

    País Vasco";Vermut Blanco;"Un vermut de altos vuelos que ha sido seleccionado como el mejor vermut semidulce del mundo en los World Vermouth Awards 2021. Se trata del primer vermut blanco del mundo elaborado con Hondarrabi zuri, la uva protagonista en los txakolis alaveses. Se crea con el vino base que alberga la damajuana número 3 de las 12 que tiene la bodega, y se macera con botánicos entre los que destacan el ajenjo y los cítricos que redondean un trago perfecto no solo para degustar ""on the rocks"", sino también en coctelería e incluso como acompañante de comidas. Okendo Txakolina es como se llama la explotación del municipio de Okondo (Álava) donde actualmente se localiza un viñedo de 10 hectáreas y una bodega que se edificó en 2008.";Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2021-04/bot-astobiza-vermouth-extra-sinbotellita.jpg;https://www.bodeboca.com/vino/astobiza-vermouth-extra
Decántalo;Astobiza Vermouth Extra;6,95 €;"02.09.2024
Artur
Balart Surià
Un Vermouth Excepcional. Tuve La Ocasión Hace 2 Años De Visitar Las Bodegas Y Comprar  También Su Ginebra Y El Txacolí. Todos Fantásticos





29.05.2024
Diana
P. Randulfe
Estaba Riquísimo 





25.02.2023
Carlos
Gascon Sancho
El Producto Es Bueno Lo Demueestra Las Compras Realizadas. Con Respecto A La Venta Por Decantalo Pesima En Esta Ocasion. El Motivo Es Que Reealice Una Compra Online De 6 Botellas De Este Vermouth Pagando Anticipadamente La Compra Como Muestra Su Factura ***  Del 15/02/2023, Pero Recibo 6 Botellas De Vino Astobiza Ni El Producto Ni El Precio Son Iguales.  Realice La Reclamacion Telefonicamente Y Como Me Indicaron Por Correo Electronico A Compañada Con Las Correspondieentes Fotos Que Me Pidieron Para Comprobar El Producto Enviado Por Error.  Al Dia De Hoy 8 Dias Estoy A La Espera De La Solucion O Se Me Notifica Cuando Y Como Se Va A Solucionar Fecha De La Compra 12/02/ 2023





11.02.2023
Gabriel
Astobiza Gracia
Hhhhh





05.01.2023
Janire
Heras Rabanal
Entrega Del Producto Muy Rápido. Encantada Con El Servicio. ¡Enhorabuena!





21.07.2022
Fernando Javier
Morejon Burguillos
Un Vermut Diferente En Todos Los Sentidos Y De Una Gran Calidad Y Sabor





08.06.2022
Jose Antonio
Sanz De Acedo
Llego Todo Cirrecto Y Rapido. 





10.12.2021
Oscar
Quintela Barriuso
Un Gran Vermú 




Cargar Más Opiniones Sobre Este Producto>";;;España;Vermut;Sin descripción;Astobiza Vermouth Extra es un vermut de carácter atlántico y muy gastronómico que presenta un equilibrio excelente entre sus notas amargas, cítricas y herbales. Su paso por boca es limpio, fresco y largo. Un vermut premium que viene acompañado por una pequeña botella con vermut rojo que da la posibilidad de elaborar combinaciones que potencian su disfrute.;https://www.decantalo.com/es/45212-large_default/astobiza-vermouth-extra.jpg;https://www.decantalo.com/es/es/astobiza-vermouth-extra.html#/1-formato-75_cl/140-outlet-outlet/177-ano-sin_anada
Decántalo;Astobiza Vermouth Extra;6,95 €;"02/09/2024
Artur
Balart Surià
Un Vermouth Excepcional. Tuve La Ocasión Hace 2 Años De Visitar Las Bodegas Y Comprar  También Su Ginebra Y El Txacolí. Todos Fantásticos





29/05/2024
Diana
P. Randulfe
Estaba Riquísimo 





25/02/2023
Carlos
Gascon Sancho
El Producto Es Bueno Lo Demueestra Las Compras Realizadas. Con Respecto A La Venta Por Decantalo Pesima En Esta Ocasion. El Motivo Es Que Reealice Una Compra Online De 6 Botellas De Este Vermouth Pagando Anticipadamente La Compra Como Muestra Su Factura ***  Del 15/02/2023, Pero Recibo 6 Botellas De Vino Astobiza Ni El Producto Ni El Precio Son Iguales.  Realice La Reclamacion Telefonicamente Y Como Me Indicaron Por Correo Electronico A Compañada Con Las Correspondieentes Fotos Que Me Pidieron Para Comprobar El Producto Enviado Por Error.  Al Dia De Hoy 8 Dias Estoy A La Espera De La Solucion O Se Me Notifica Cuando Y Como Se Va A Solucionar Fecha De La Compra 12/02/ 2023





11/02/2023
Gabriel
Astobiza Gracia
Hhhhh





05/01/2023
Janire
Heras Rabanal
Entrega Del Producto Muy Rápido. Encantada Con El Servicio. ¡Enhorabuena!





21/07/2022
Fernando Javier
Morejon Burguillos
Un Vermut Diferente En Todos Los Sentidos Y De Una Gran Calidad Y Sabor





08/06/2022
Jose Antonio
Sanz De Acedo
Llego Todo Cirrecto Y Rapido. 





10/12/2021
Oscar
Quintela Barriuso
Un Gran Vermú 




Cargar Más Opiniones Sobre Este Producto>";;;España;Vermut;Sin descripción;Astobiza Vermouth Extra es un vermut de carácter atlántico y muy gastronómico que presenta un equilibrio excelente entre sus notas amargas, cítricas y herbales. Su paso por boca es limpio, fresco y largo. Un vermut premium que viene acompañado por una pequeña botella con vermut rojo que da la posibilidad de elaborar combinaciones que potencian su disfrute.;https://www.decantalo.com/es/45212-large_default/astobiza-vermouth-extra.jpg;https://www.decantalo.com/es/es/astobiza-vermouth-extra.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Alvear Vermouth Rojo Artesano de Pedro Ximénez;11,95 €;"Bodega
Alvear";"Zona De Elaboración
Andalucía";;España;Vermut Rojo;Sin descripción;Alvear Vermouth Rojo es un vermut muy potente y profundo. En nariz destacan las notas cítricas, de caramelo tostado, frutos secos, especias dulces. ebanistería y pasas. En boca es equilibrado y amplio, elegante y especiado. Fondo floral complementadas con los aromas a tostado, a café del PX y de madera noble. Final muy largo y definido.;https://www.decantalo.com/es/39896-large_default/alvear-vermouth-rojo.jpg;https://www.decantalo.com/es/es/alvear-vermouth-rojo.html#/1-formato-75_cl/177-ano-sin_anada
Decántalo;Vermouth Carpano Fórmula Antica;38,50 €;"Bodega
Carpano";;;España;Vermut;Sin descripción;Vermouth Carpano Antica Formula es un vermut que en nariz ofrece notas especiadas y aromas de cítricos y frutos secos acompañados por un matiz avainillado. Su paso por boca es redondo, suave, delicado y sabroso donde se reafirman las notas de vainilla que acompañan a los sabores de naranja amarga, dátiles, cacao y azafrán. Es un vermut que equilibra con elegancia dulzor y amargor.;https://www.decantalo.com/es/15443-large_default/vermouth-carpano-formula-antinca.jpg;https://www.decantalo.com/es/es/vermouth-carpano-formula-antinca.html#/53-formato-1_litro/177-ano-sin_anada
Decántalo;Vermouth De Muller Reserva;12,75 €;"Bodega
De Muller";"Zona De Elaboración
Cataluña";;España;Vermut Reserva;Sin descripción;Vermouth De Muller Reserva es un vermut elegante y con carácter. En nariz es dulce, con notas tánicas, amaderadas y fruta pasificada. En boca se mantiene ese dulzor, con notas a frutos secos tostados, cacao y café. Final balsámico, largo y persistente.;https://www.decantalo.com/es/39030-large_default/vermouth-de-muller-reserva.jpg;https://www.decantalo.com/es/es/vermouth-de-muller-reserva.html#/1-formato-75_cl/177-ano-sin_anada
Bodeboca;Vermouth La Copa Reserva;21,20 €;;;;España;Vermut Reserva;Este es un vermú que está elaborado siguiendo la receta tradicional de González Byass de 1906, una década después de que comenzara a hacerse esta bebida al estilo jerezano. Su origen se encuentrra en las soleras más nobles de Oloroso y PX de la casa de Jerez que cuentan con una edad media de 9 años a las que se le han añadido los botánicos más pizpiretos como ajenjo, clavo, naranja amarga, canela, nuez moscada, angélica y quina. González Byass es seguramente el grupo bodeguero español más conocido en todo el mundo gracias a sus vinos de Jerez. Su historia comenzó cuando D. Manuel María González Ángel puso en marcha el negocio.;Bodeboca.com © 2026 - Todos los derechos reservados;https://www.bodeboca.com/sites/default/files/wines/2022-07/bot-vermouth-la-copa-reserva.jpg;https://www.bodeboca.com/vino/vermouth-copa-reserva#block-productratings
Decántalo;Vermouth Rojo La Copa;9,75 €;"Bodega
González Byass";"Zona De Elaboración
Andalucía";;España;Vermut Rojo;Sin descripción;Vermouth Rojo La Copa es un macerado ligero. En nariz destacan aromas especiados, con sutiles notas de clavo, canela e hierbas silvestres. En boca es suave y elegante, con un suave amargor final.;https://www.decantalo.com/es/39028-large_default/vermouth-rojo-la-copa.jpg;https://www.decantalo.com/es/es/vermouth-rojo-la-copa.html#/1-formato-75_cl/177-ano-sin_anada
